type	title	slug	slugZh	en_path	zh_path	flags	en_url	zh_url
portfolioEntry	Bambu Lab X1 – The New Pioneer in 3D Printing	bambu-lab-x1	拓竹-x1-3d打印新先锋	/portfolio/bambu-lab-x1	/zh/投资组合/拓竹-x1-3d打印新先锋		https://vantage.pictures/portfolio/bambu-lab-x1	https://vantage.pictures/zh/投资组合/拓竹-x1-3d打印新先锋
portfolioEntry	Banyan Tree – There's More to Discovery	banyan-tree-theres-more-to-discovery	悦榕庄-发现更多	/portfolio/banyan-tree-theres-more-to-discovery	/zh/投资组合/悦榕庄-发现更多		https://vantage.pictures/portfolio/banyan-tree-theres-more-to-discovery	https://vantage.pictures/zh/投资组合/悦榕庄-发现更多
portfolioEntry	BIDV SmartBanking – Hòa nhịp sống thông minh	bidv-smartbanking-hoa-nhi%cc%a3p-so%cc%82ng-tho%cc%82ng-minh	bidv-智能银行	/portfolio/bidv-smartbanking-hoa-nhi%cc%a3p-so%cc%82ng-tho%cc%82ng-minh	/zh/投资组合/bidv-智能银行		https://vantage.pictures/portfolio/bidv-smartbanking-hoa-nhi%cc%a3p-so%cc%82ng-tho%cc%82ng-minh	https://vantage.pictures/zh/投资组合/bidv-智能银行
portfolioEntry	Bitget – Elite Traders	bitget-elite-traders		/portfolio/bitget-elite-traders	/zh/投资组合/bitget-elite-traders	isHidden,slugZhMissing	https://vantage.pictures/portfolio/bitget-elite-traders	https://vantage.pictures/zh/投资组合/bitget-elite-traders
portfolioEntry	Bitget – GetAgent ft. Julián Álvarez	bitget-getagent-ft-julian-alvarez	bitget-getagent-ft-julian-alvarez	/portfolio/bitget-getagent-ft-julian-alvarez	/zh/投资组合/bitget-getagent-ft-julian-alvarez		https://vantage.pictures/portfolio/bitget-getagent-ft-julian-alvarez	https://vantage.pictures/zh/投资组合/bitget-getagent-ft-julian-alvarez
portfolioEntry	Bitget – Trade Smarter	bitget-trade-smarter	bitget-智慧交易	/portfolio/bitget-trade-smarter	/zh/投资组合/bitget-智慧交易		https://vantage.pictures/portfolio/bitget-trade-smarter	https://vantage.pictures/zh/投资组合/bitget-智慧交易
portfolioEntry	Braun x DJI – Dare to Be Different	braun-x-dji	博朗-x-大疆-敢于不同	/portfolio/braun-x-dji	/zh/投资组合/博朗-x-大疆-敢于不同		https://vantage.pictures/portfolio/braun-x-dji	https://vantage.pictures/zh/投资组合/博朗-x-大疆-敢于不同
portfolioEntry	BRINC – A New Era of Response	brinc-a-new-era-of-response	brinc-响应的新时代	/portfolio/brinc-a-new-era-of-response	/zh/投资组合/brinc-响应的新时代		https://vantage.pictures/portfolio/brinc-a-new-era-of-response	https://vantage.pictures/zh/投资组合/brinc-响应的新时代
portfolioEntry	BRINC Guardian – Next Generation of Response	brinc-guardian-next-generation-of-response	brinc-守护者-下一代响应系统	/portfolio/brinc-guardian-next-generation-of-response	/zh/投资组合/brinc-守护者-下一代响应系统		https://vantage.pictures/portfolio/brinc-guardian-next-generation-of-response	https://vantage.pictures/zh/投资组合/brinc-守护者-下一代响应系统
portfolioEntry	The Coca-Cola Company x The Ocean Cleanup	coca-cola-ocean-cleanup	可口可乐-x-海洋清理	/portfolio/coca-cola-ocean-cleanup	/zh/投资组合/可口可乐-x-海洋清理		https://vantage.pictures/portfolio/coca-cola-ocean-cleanup	https://vantage.pictures/zh/投资组合/可口可乐-x-海洋清理
portfolioEntry	Comfort x Tóc Tiên – Áo Xuân Tươi Màu, Disco Xin Vía	comfort-disco	comfort-disco-xin-via	/portfolio/comfort-disco	/zh/投资组合/comfort-disco-xin-via		https://vantage.pictures/portfolio/comfort-disco	https://vantage.pictures/zh/投资组合/comfort-disco-xin-via
portfolioEntry	DJI – Introducing FlightHub	dji-introducing-flighthub	大疆-flighthub-介绍	/portfolio/dji-introducing-flighthub	/zh/投资组合/大疆-flighthub-介绍		https://vantage.pictures/portfolio/dji-introducing-flighthub	https://vantage.pictures/zh/投资组合/大疆-flighthub-介绍
portfolioEntry	DJI – Introducing Master Wheels	dji-introducing-master-wheels	大疆-master-wheels-隆重登场	/portfolio/dji-introducing-master-wheels	/zh/投资组合/大疆-master-wheels-隆重登场		https://vantage.pictures/portfolio/dji-introducing-master-wheels	https://vantage.pictures/zh/投资组合/大疆-master-wheels-隆重登场
portfolioEntry	DJI – Introducing Matrice 200 Series	dji-introducing-matrice-200-series	大疆matrice-200	/portfolio/dji-introducing-matrice-200-series	/zh/投资组合/大疆matrice-200		https://vantage.pictures/portfolio/dji-introducing-matrice-200-series	https://vantage.pictures/zh/投资组合/大疆matrice-200
portfolioEntry	DJI – Introducing Matrice 600	dji-introducing-matrice-600	大疆-推出悟pro-600	/portfolio/dji-introducing-matrice-600	/zh/投资组合/大疆-推出悟pro-600		https://vantage.pictures/portfolio/dji-introducing-matrice-600	https://vantage.pictures/zh/投资组合/大疆-推出悟pro-600
portfolioEntry	DJI – Introducing Mavic 2 Series	dji-introducing-mavic-2-series	大疆-mavic-2-系列介绍	/portfolio/dji-introducing-mavic-2-series	/zh/投资组合/大疆-mavic-2-系列介绍		https://vantage.pictures/portfolio/dji-introducing-mavic-2-series	https://vantage.pictures/zh/投资组合/大疆-mavic-2-系列介绍
portfolioEntry	DJI – Introducing Phantom 4 Pro	dji-introducing-phantom-4-pro	大疆-phantom-4-pro-隆重发布	/portfolio/dji-introducing-phantom-4-pro	/zh/投资组合/大疆-phantom-4-pro-隆重发布		https://vantage.pictures/portfolio/dji-introducing-phantom-4-pro	https://vantage.pictures/zh/投资组合/大疆-phantom-4-pro-隆重发布
portfolioEntry	DJI – Introducing Zenmuse X5 Series	dji-introducing-zenmuse-x5-series	大疆-zenmuse-x5-系列介绍	/portfolio/dji-introducing-zenmuse-x5-series	/zh/投资组合/大疆-zenmuse-x5-系列介绍		https://vantage.pictures/portfolio/dji-introducing-zenmuse-x5-series	https://vantage.pictures/zh/投资组合/大疆-zenmuse-x5-系列介绍
portfolioEntry	DJI – Introducing Zenmuse XT2	dji-introducing-zenmuse-xt2	大疆-推出-zenmuse-xt2	/portfolio/dji-introducing-zenmuse-xt2	/zh/投资组合/大疆-推出-zenmuse-xt2		https://vantage.pictures/portfolio/dji-introducing-zenmuse-xt2	https://vantage.pictures/zh/投资组合/大疆-推出-zenmuse-xt2
portfolioEntry	DJI – Introducing Zenmuse Z30	dji-introducing-zenmuse-z30	大疆-推出-zenmuse-z30	/portfolio/dji-introducing-zenmuse-z30	/zh/投资组合/大疆-推出-zenmuse-z30		https://vantage.pictures/portfolio/dji-introducing-zenmuse-z30	https://vantage.pictures/zh/投资组合/大疆-推出-zenmuse-z30
portfolioEntry	DJI Matrice 200 Series – Search & Rescue in Extreme Environments	dji-matrice-200-series-search-rescue-in-extreme-environments	大疆-悟-200-系列-严酷环境下的搜救	/portfolio/dji-matrice-200-series-search-rescue-in-extreme-environments	/zh/投资组合/大疆-悟-200-系列-严酷环境下的搜救		https://vantage.pictures/portfolio/dji-matrice-200-series-search-rescue-in-extreme-environments	https://vantage.pictures/zh/投资组合/大疆-悟-200-系列-严酷环境下的搜救
portfolioEntry	DJI Mavic 2 – A Cosmic Voyage	dji-mavic-2-a-cosmic-voyage	dji-mavic-2-一次宇宙航行	/portfolio/dji-mavic-2-a-cosmic-voyage	/zh/投资组合/dji-mavic-2-一次宇宙航行		https://vantage.pictures/portfolio/dji-mavic-2-a-cosmic-voyage	https://vantage.pictures/zh/投资组合/dji-mavic-2-一次宇宙航行
portfolioEntry	DJI Mavic 2 – Rapid Recap	dji-mavic-2-rapid-recap	大疆御-2-快速回顾	/portfolio/dji-mavic-2-rapid-recap	/zh/投资组合/大疆御-2-快速回顾		https://vantage.pictures/portfolio/dji-mavic-2-rapid-recap	https://vantage.pictures/zh/投资组合/大疆御-2-快速回顾
portfolioEntry	DJI Mavic 2 – Ski-Mountaineering with Jimmy Chin	dji-mavic-2-ski-mountaineering-with-jimmy-chin	大疆御-2-吉米-金的滑雪登山之旅	/portfolio/dji-mavic-2-ski-mountaineering-with-jimmy-chin	/zh/投资组合/大疆御-2-吉米-金的滑雪登山之旅		https://vantage.pictures/portfolio/dji-mavic-2-ski-mountaineering-with-jimmy-chin	https://vantage.pictures/zh/投资组合/大疆御-2-吉米-金的滑雪登山之旅
portfolioEntry	DJI Mavic Air – The Last Wild Place on Earth	dji-mavic-air-the-last-wild-place-on-earth	大疆-mavic-air-地球上最后的净土	/portfolio/dji-mavic-air-the-last-wild-place-on-earth	/zh/投资组合/大疆-mavic-air-地球上最后的净土		https://vantage.pictures/portfolio/dji-mavic-air-the-last-wild-place-on-earth	https://vantage.pictures/zh/投资组合/大疆-mavic-air-地球上最后的净土
portfolioEntry	DJI Mavic Pro – Wall-to-Wall Art	dji-mavic-pro-wall-to-wall-art	大疆-mavic-pro-墙到墙的艺术	/portfolio/dji-mavic-pro-wall-to-wall-art	/zh/投资组合/大疆-mavic-pro-墙到墙的艺术		https://vantage.pictures/portfolio/dji-mavic-pro-wall-to-wall-art	https://vantage.pictures/zh/投资组合/大疆-mavic-pro-墙到墙的艺术
portfolioEntry	DJI – Meet Osmo Pocket	dji-meet-osmo-pocket	大疆-认识-osmo-pocket	/portfolio/dji-meet-osmo-pocket	/zh/投资组合/大疆-认识-osmo-pocket		https://vantage.pictures/portfolio/dji-meet-osmo-pocket	https://vantage.pictures/zh/投资组合/大疆-认识-osmo-pocket
portfolioEntry	DJI – Meet Spark	dji-meet-spark	大疆-认识-spark	/portfolio/dji-meet-spark	/zh/投资组合/大疆-认识-spark		https://vantage.pictures/portfolio/dji-meet-spark	https://vantage.pictures/zh/投资组合/大疆-认识-spark
portfolioEntry	DJI – Meet the RoboMaster S1	dji-meet-the-robomaster-s1	dji-认识-robomaster-s1	/portfolio/dji-meet-the-robomaster-s1	/zh/投资组合/dji-认识-robomaster-s1		https://vantage.pictures/portfolio/dji-meet-the-robomaster-s1	https://vantage.pictures/zh/投资组合/dji-认识-robomaster-s1
portfolioEntry	DJI – My Hong Kong	dji-my-hong-kong	大疆-我的香港	/portfolio/dji-my-hong-kong	/zh/投资组合/大疆-我的香港		https://vantage.pictures/portfolio/dji-my-hong-kong	https://vantage.pictures/zh/投资组合/大疆-我的香港
portfolioEntry	DJI – My Mavic	dji-my-mavic	dji-我的御	/portfolio/dji-my-mavic	/zh/投资组合/dji-我的御		https://vantage.pictures/portfolio/dji-my-mavic	https://vantage.pictures/zh/投资组合/dji-我的御
portfolioEntry	DJI Osmo Mobile – Beyond Smart	dji-osmo-mobile-beyond-smart	大疆灵眸-osmo-mobile-超越智能	/portfolio/dji-osmo-mobile-beyond-smart	/zh/投资组合/大疆灵眸-osmo-mobile-超越智能		https://vantage.pictures/portfolio/dji-osmo-mobile-beyond-smart	https://vantage.pictures/zh/投资组合/大疆灵眸-osmo-mobile-超越智能
portfolioEntry	DJI – Osmo Mobile Campaign	dji-osmo-mobile-campaign	大疆灵眸视频推广	/portfolio/dji-osmo-mobile-campaign	/zh/投资组合/大疆灵眸视频推广		https://vantage.pictures/portfolio/dji-osmo-mobile-campaign	https://vantage.pictures/zh/投资组合/大疆灵眸视频推广
portfolioEntry	DJI Osmo Pocket – Portable Power	dji-osmo-pocket-portable-power	大疆灵眸-osmo-pocket-便携动力	/portfolio/dji-osmo-pocket-portable-power	/zh/投资组合/大疆灵眸-osmo-pocket-便携动力		https://vantage.pictures/portfolio/dji-osmo-pocket-portable-power	https://vantage.pictures/zh/投资组合/大疆灵眸-osmo-pocket-便携动力
portfolioEntry	DJI Phantom 4 Pro – Hawaiian Lava	dji-phantom-4-pro-hawaiian-lava	大疆精灵4-pro-夏威夷熔岩	/portfolio/dji-phantom-4-pro-hawaiian-lava	/zh/投资组合/大疆精灵4-pro-夏威夷熔岩		https://vantage.pictures/portfolio/dji-phantom-4-pro-hawaiian-lava	https://vantage.pictures/zh/投资组合/大疆精灵4-pro-夏威夷熔岩
portfolioEntry	DJI Profiles – Know Your Passion	dji-profiles-know-your-passion	大疆人物-认识自己的热爱	/portfolio/dji-profiles-know-your-passion	/zh/投资组合/大疆人物-认识自己的热爱		https://vantage.pictures/portfolio/dji-profiles-know-your-passion	https://vantage.pictures/zh/投资组合/大疆人物-认识自己的热爱
portfolioEntry	DJI Profiles – Time is Fluid	dji-profiles-time-is-fluid	大疆档案-时间是流动的	/portfolio/dji-profiles-time-is-fluid	/zh/投资组合/大疆档案-时间是流动的		https://vantage.pictures/portfolio/dji-profiles-time-is-fluid	https://vantage.pictures/zh/投资组合/大疆档案-时间是流动的
portfolioEntry	DJI Profiles – Wedding Photography Reimagined	dji-profiles-wedding-photography-reimagined	dji-影像预设-婚礼摄影的革新	/portfolio/dji-profiles-wedding-photography-reimagined	/zh/投资组合/dji-影像预设-婚礼摄影的革新		https://vantage.pictures/portfolio/dji-profiles-wedding-photography-reimagined	https://vantage.pictures/zh/投资组合/dji-影像预设-婚礼摄影的革新
portfolioEntry	DJI Spark – Capture Your Passion	dji-spark	大疆-spark-捕捉你的激情	/portfolio/dji-spark	/zh/投资组合/大疆-spark-捕捉你的激情		https://vantage.pictures/portfolio/dji-spark	https://vantage.pictures/zh/投资组合/大疆-spark-捕捉你的激情
portfolioEntry	DJI Stories – Australian Coastline Watch	dji-stories-australian-coastline-watch	大疆故事-澳大利亚海岸卫士	/portfolio/dji-stories-australian-coastline-watch	/zh/投资组合/大疆故事-澳大利亚海岸卫士		https://vantage.pictures/portfolio/dji-stories-australian-coastline-watch	https://vantage.pictures/zh/投资组合/大疆故事-澳大利亚海岸卫士
portfolioEntry	DJI Stories – Building Our Future	dji-stories-building-our-future	大疆故事-构筑我们的未来	/portfolio/dji-stories-building-our-future	/zh/投资组合/大疆故事-构筑我们的未来		https://vantage.pictures/portfolio/dji-stories-building-our-future	https://vantage.pictures/zh/投资组合/大疆故事-构筑我们的未来
portfolioEntry	DJI Stories – Feeding the World	dji-stories-feeding-the-world	大疆故事-喂养世界	/portfolio/dji-stories-feeding-the-world	/zh/投资组合/大疆故事-喂养世界		https://vantage.pictures/portfolio/dji-stories-feeding-the-world	https://vantage.pictures/zh/投资组合/大疆故事-喂养世界
portfolioEntry	DJI Stories – Humpback Whales of Rarotonga	dji-stories-humpback-whales-of-rarotonga	大疆故事-拉罗汤加的座头鲸	/portfolio/dji-stories-humpback-whales-of-rarotonga	/zh/投资组合/大疆故事-拉罗汤加的座头鲸		https://vantage.pictures/portfolio/dji-stories-humpback-whales-of-rarotonga	https://vantage.pictures/zh/投资组合/大疆故事-拉罗汤加的座头鲸
portfolioEntry	DJI Stories – Linkin Park	dji-stories-linkin-park	dji的故事-林肯公园	/portfolio/dji-stories-linkin-park	/zh/投资组合/dji的故事-林肯公园		https://vantage.pictures/portfolio/dji-stories-linkin-park	https://vantage.pictures/zh/投资组合/dji的故事-林肯公园
portfolioEntry	DJI Stories – Mapping the Maldives	dji-stories-mapping-the-maldives	大疆故事-马尔代夫地图绘制	/portfolio/dji-stories-mapping-the-maldives	/zh/投资组合/大疆故事-马尔代夫地图绘制		https://vantage.pictures/portfolio/dji-stories-mapping-the-maldives	https://vantage.pictures/zh/投资组合/大疆故事-马尔代夫地图绘制
portfolioEntry	DJI Stories – Polo	dji-stories-polo	大疆故事-polo	/portfolio/dji-stories-polo	/zh/投资组合/大疆故事-polo		https://vantage.pictures/portfolio/dji-stories-polo	https://vantage.pictures/zh/投资组合/大疆故事-polo
portfolioEntry	DJI Stories – The Lost City of Chernobyl	dji-stories-the-lost-city-of-chernobyl	大疆故事	/portfolio/dji-stories-the-lost-city-of-chernobyl	/zh/投资组合/大疆故事		https://vantage.pictures/portfolio/dji-stories-the-lost-city-of-chernobyl	https://vantage.pictures/zh/投资组合/大疆故事
portfolioEntry	DJI World – The Story of Aisholpan	dji-world-the-story-of-aisholpan	大疆世界-艾莎-奥丽的传奇	/portfolio/dji-world-the-story-of-aisholpan	/zh/投资组合/大疆世界-艾莎-奥丽的传奇		https://vantage.pictures/portfolio/dji-world-the-story-of-aisholpan	https://vantage.pictures/zh/投资组合/大疆世界-艾莎-奥丽的传奇
portfolioEntry	DJI – Zenmuse X7 Showreel	dji-zenmuse-x7-showreel	大疆-灵眸x7-样片	/portfolio/dji-zenmuse-x7-showreel	/zh/投资组合/大疆-灵眸x7-样片		https://vantage.pictures/portfolio/dji-zenmuse-x7-showreel	https://vantage.pictures/zh/投资组合/大疆-灵眸x7-样片
portfolioEntry	EcoFlow – DELTA Battery Generator	ecoflow-delta-battery-generator	ecoflow-delta-电池发电机	/portfolio/ecoflow-delta-battery-generator	/zh/投资组合/ecoflow-delta-电池发电机		https://vantage.pictures/portfolio/ecoflow-delta-battery-generator	https://vantage.pictures/zh/投资组合/ecoflow-delta-电池发电机
portfolioEntry	EcoFlow DELTA Series – Live Without Limits	ecoflow-delta-series-live-without-limits	ecoflow-delta-系列-不受限制的生活	/portfolio/ecoflow-delta-series-live-without-limits	/zh/投资组合/ecoflow-delta-系列-不受限制的生活		https://vantage.pictures/portfolio/ecoflow-delta-series-live-without-limits	https://vantage.pictures/zh/投资组合/ecoflow-delta-系列-不受限制的生活
portfolioEntry	EcoFlow RIVER Mini – Power at Hand	ecoflow-introducing-river-mini-power-at-hand	ecoflow-river-mini-触手可及的能量	/portfolio/ecoflow-introducing-river-mini-power-at-hand	/zh/投资组合/ecoflow-river-mini-触手可及的能量		https://vantage.pictures/portfolio/ecoflow-introducing-river-mini-power-at-hand	https://vantage.pictures/zh/投资组合/ecoflow-river-mini-触手可及的能量
portfolioEntry	EcoFlow RIVER 600 – Customizable Backup Power	ecoflow-river-600-customizable-backup-power	ecoflow-river-600-可定制的备用电源	/portfolio/ecoflow-river-600-customizable-backup-power	/zh/投资组合/ecoflow-river-600-可定制的备用电源		https://vantage.pictures/portfolio/ecoflow-river-600-customizable-backup-power	https://vantage.pictures/zh/投资组合/ecoflow-river-600-可定制的备用电源
portfolioEntry	EcoFlow – RIVER Mobile Power Station	ecoflow-river-mobile-power-station	ecoflow-river-移动电源站	/portfolio/ecoflow-river-mobile-power-station	/zh/投资组合/ecoflow-river-移动电源站		https://vantage.pictures/portfolio/ecoflow-river-mobile-power-station	https://vantage.pictures/zh/投资组合/ecoflow-river-移动电源站
portfolioEntry	EcoFlow Wave – Keep It Cool	ecoflow-wave-keep-it-cool	ecoflow-wave-保持凉爽	/portfolio/ecoflow-wave-keep-it-cool	/zh/投资组合/ecoflow-wave-保持凉爽		https://vantage.pictures/portfolio/ecoflow-wave-keep-it-cool	https://vantage.pictures/zh/投资组合/ecoflow-wave-保持凉爽
portfolioEntry	Elewana Collection - Loisaba Conservancy Safari	elewana-collection-loisaba-conservancy-safari	elewana-collection-loisaba-保护区-safari	/portfolio/elewana-collection-loisaba-conservancy-safari	/zh/投资组合/elewana-collection-loisaba-保护区-safari		https://vantage.pictures/portfolio/elewana-collection-loisaba-conservancy-safari	https://vantage.pictures/zh/投资组合/elewana-collection-loisaba-保护区-safari
portfolioEntry	Fujifilm – A Journey Toward More Accessible Medicine	fujifilm-jouney-toward-more-accessible-medicine	富士胶片-通往更普及医疗的旅程	/portfolio/fujifilm-jouney-toward-more-accessible-medicine	/zh/投资组合/富士胶片-通往更普及医疗的旅程		https://vantage.pictures/portfolio/fujifilm-jouney-toward-more-accessible-medicine	https://vantage.pictures/zh/投资组合/富士胶片-通往更普及医疗的旅程
portfolioEntry	Gendome Home 3000 – Your Smart Portable Power Station	gendome-home-3000	gendome-home-3000-您的智能便携式电站	/portfolio/gendome-home-3000	/zh/投资组合/gendome-home-3000-您的智能便携式电站		https://vantage.pictures/portfolio/gendome-home-3000	https://vantage.pictures/zh/投资组合/gendome-home-3000-您的智能便携式电站
portfolioEntry	Govee – For Every Mood of Home	govee-for-every-mood-of-home	歌诗顿-随心打造居家氛围	/portfolio/govee-for-every-mood-of-home	/zh/投资组合/歌诗顿-随心打造居家氛围		https://vantage.pictures/portfolio/govee-for-every-mood-of-home	https://vantage.pictures/zh/投资组合/歌诗顿-随心打造居家氛围
portfolioEntry	Govee – Halloween 2025	govee-halloween	戈维-2025-年万圣节	/portfolio/govee-halloween	/zh/投资组合/戈维-2025-年万圣节		https://vantage.pictures/portfolio/govee-halloween	https://vantage.pictures/zh/投资组合/戈维-2025-年万圣节
portfolioEntry	Govee – Lit By Govee	govee-lit-by-govee	govee-闪耀由govee点亮	/portfolio/govee-lit-by-govee	/zh/投资组合/govee-闪耀由govee点亮		https://vantage.pictures/portfolio/govee-lit-by-govee	https://vantage.pictures/zh/投资组合/govee-闪耀由govee点亮
portfolioEntry	Govee – Permanent Outdoor Lights	govee-permanent-outdoor-lights	govee-永恒户外灯	/portfolio/govee-permanent-outdoor-lights	/zh/投资组合/govee-永恒户外灯		https://vantage.pictures/portfolio/govee-permanent-outdoor-lights	https://vantage.pictures/zh/投资组合/govee-永恒户外灯
portfolioEntry	Hasselblad – Introducing 907X Special Edition	hasselblad-introducing-907x-special-edition	哈苏-推出-907x-特别版	/portfolio/hasselblad-introducing-907x-special-edition	/zh/投资组合/哈苏-推出-907x-特别版		https://vantage.pictures/portfolio/hasselblad-introducing-907x-special-edition	https://vantage.pictures/zh/投资组合/哈苏-推出-907x-特别版
portfolioEntry	Hasselblad X1D II 50C – Travel Photographer	hasselblad-x1d	哈苏-x1d-ii-50c-旅行摄影师	/portfolio/hasselblad-x1d	/zh/投资组合/哈苏-x1d-ii-50c-旅行摄影师		https://vantage.pictures/portfolio/hasselblad-x1d	https://vantage.pictures/zh/投资组合/哈苏-x1d-ii-50c-旅行摄影师
portfolioEntry	Herbalife – Chọn Dinh Dưỡng Lành Mạnh, Chọn Herbalife Nutrition	herbalife-nutrition	康宝莱营养品	/portfolio/herbalife-nutrition	/zh/投资组合/康宝莱营养品		https://vantage.pictures/portfolio/herbalife-nutrition	https://vantage.pictures/zh/投资组合/康宝莱营养品
portfolioEntry	HiDock – ChatGPT-Powered Audio Dock	hidock-chatgpt-powered-audio-dock	hidock-chatgpt驱动的音频扩展坞	/portfolio/hidock-chatgpt-powered-audio-dock	/zh/投资组合/hidock-chatgpt驱动的音频扩展坞		https://vantage.pictures/portfolio/hidock-chatgpt-powered-audio-dock	https://vantage.pictures/zh/投资组合/hidock-chatgpt驱动的音频扩展坞
portfolioEntry	Hoà Phát – Trữ Đông Là Phải Chuản – Chuản Phải Là Tủ Đông Hoà Phát	hoa-phat	和发冰箱	/portfolio/hoa-phat	/zh/投资组合/和发冰箱		https://vantage.pictures/portfolio/hoa-phat	https://vantage.pictures/zh/投资组合/和发冰箱
portfolioEntry	HONOR – Magic 2 AI	honor-magic-2	荣耀-magic-2-ai	/portfolio/honor-magic-2	/zh/投资组合/荣耀-magic-2-ai		https://vantage.pictures/portfolio/honor-magic-2	https://vantage.pictures/zh/投资组合/荣耀-magic-2-ai
portfolioEntry	Hyundai – Progress of Humanity	hyundai-progress-for-humanity	现代人类的进步	/portfolio/hyundai-progress-for-humanity	/zh/投资组合/现代人类的进步		https://vantage.pictures/portfolio/hyundai-progress-for-humanity	https://vantage.pictures/zh/投资组合/现代人类的进步
portfolioEntry	IndelB ICECO Go20 – Let's Own a Different Summer!	indelb-go20	indelb-iceco-go20-拥有不一样的夏天	/portfolio/indelb-go20	/zh/投资组合/indelb-iceco-go20-拥有不一样的夏天		https://vantage.pictures/portfolio/indelb-go20	https://vantage.pictures/zh/投资组合/indelb-iceco-go20-拥有不一样的夏天
portfolioEntry	Indwell – 2-in-1 Fridge & Air Conditioner	indwell-refrigerator-air-conditioner	indwell-双效冰箱与空调	/portfolio/indwell-refrigerator-air-conditioner	/zh/投资组合/indwell-双效冰箱与空调		https://vantage.pictures/portfolio/indwell-refrigerator-air-conditioner	https://vantage.pictures/zh/投资组合/indwell-双效冰箱与空调
portfolioEntry	Insta360 Link – The AI-Powered 4K Webcam	insta360-link-the-ai-powered-4k-webcam	insta360-link-人工智能驱动的-4k-网络摄像头	/portfolio/insta360-link-the-ai-powered-4k-webcam	/zh/投资组合/insta360-link-人工智能驱动的-4k-网络摄像头		https://vantage.pictures/portfolio/insta360-link-the-ai-powered-4k-webcam	https://vantage.pictures/zh/投资组合/insta360-link-人工智能驱动的-4k-网络摄像头
